ticket_id,created_at,first_response_at,resolved_at,priority,status,channel,category_id,assigned_agent_id,requester_department,affected_service,summary,description,escalated,outage_related
40,2024-01-04 06:56:40,2024-01-04 10:59:58.995753181,2024-01-04 20:32:57.579704726,P3,closed,portal,8,7,HR,voice,VPN fails only for users in Phoenix office.,VPN fails only for users in Phoenix office. Reported by Barbara from Sales.,False,False
41,2024-01-04 09:15:21,2024-01-04 11:31:35.632391877,2024-01-05 09:55:31.964809146,P4,resolved,portal,5,7,Finance,business-apps,VPN disconnects every 15 minutes on hotel Wi-Fi.,VPN disconnects every 15 minutes on hotel Wi-Fi. Reported by Janet from Sales.,False,False
42,2024-01-04 09:29:46,2024-01-04 11:21:43.708209635,2024-01-04 15:40:51.938543438,P2,resolved,phone,4,3,Sales,saas,Conditional access policy locked out break-glass account.,Conditional access policy locked out break-glass account. Reported by Brandon from Operations.,False,False
43,2024-01-04 10:42:12,2024-01-04 17:37:23.837128238,2024-01-04 23:35:11.642950742,P3,closed,email,6,7,Operations,peripherals,Conference room display shows no HDMI signal.,Conference room display shows no HDMI signal. Reported by Jeremy from Finance.,False,False
44,2024-01-04 14:12:58,2024-01-04 15:21:00.687887298,2024-01-05 09:14:26.079378594,P3,resolved,portal,7,2,IT,security,Conditional access policy locked out break-glass account.,Conditional access policy locked out break-glass account. Reported by Keith from Finance.,False,False
45,2024-01-04 14:32:52,2024-01-05 03:19:53.830712344,2024-01-06 19:19:39.972986687,P4,resolved,phone,6,1,Operations,peripherals,Suspicious login alert triggered for finance user.,Suspicious login alert triggered for finance user. Reported by Christopher from Sales.,False,False
46,2024-01-04 15:10:48,2024-01-04 17:31:13.856095297,,P2,pending,email,3,10,Finance,network,ERP purchase order screen timing out for AP team.,ERP purchase order screen timing out for AP team. Reported by Jesse from Warehouse.,False,False
47,2024-01-04 15:14:55,2024-01-04 20:37:27.670951891,2024-01-05 06:57:59.198524157,P3,resolved,chat,8,2,Warehouse,voice,Mailbox forwarding rule recreated after removal.,Mailbox forwarding rule recreated after removal. Reported by Craig from Operations.,False,False
48,2024-01-04 15:15:48,2024-01-04 18:04:27.036236216,2024-01-04 22:11:13.463506587,P3,closed,phone,6,2,IT,peripherals,Teams calls dropping audio after two minutes.,Teams calls dropping audio after two minutes. Reported by Joshua from Finance.,False,False
49,2024-01-04 15:33:33,2024-01-04 21:55:23.842314442,2024-01-05 15:48:55.007590023,P4,resolved,email,8,4,Sales,voice,Password reset loop continues after successful change.,Password reset loop continues after successful change. Reported by Cynthia from HR.,False,False
50,2024-01-04 16:27:18,2024-01-05 09:44:09.651412197,2024-01-07 01:24:42.054011528,P4,resolved,email,5,10,HR,business-apps,Password reset loop continues after successful change.,Password reset loop continues after successful change. Reported by Michael from Warehouse.,False,False
51,2024-01-04 16:49:11,2024-01-05 04:53:15.541862820,2024-01-06 13:29:20.622501111,P4,resolved,email,4,9,HR,saas,Scanner firmware update broke keyboard wedge mode.,Scanner firmware update broke keyboard wedge mode. Reported by Mitchell from Operations.,False,False
52,2024-01-04 21:22:56,2024-01-05 01:49:43.002985642,2024-01-05 10:24:37.609795952,P3,resolved,email,7,8,IT,security,ERP role request approved but not applied.,ERP role request approved but not applied. Reported by Jason from Warehouse.,False,False
53,2024-01-04 21:53:30,2024-01-05 03:10:51.867597632,2024-01-05 17:45:33.112975891,P3,closed,email,5,2,Sales,business-apps,Spam burst hit shared support inbox this morning.,Spam burst hit shared support inbox this morning. Reported by Joseph from Sales.,False,False
54,2024-01-04 22:49:50,2024-01-05 17:46:01.699628147,2024-01-06 16:23:57.740277608,P4,closed,email,7,7,Sales,security,Slack notifications delayed for customer support queue.,Slack notifications delayed for customer support queue. Reported by Sharon from Operations.,False,False
55,2024-01-05 00:07:49,2024-01-05 13:37:45.532658945,2024-01-05 19:55:48.746210623,P4,resolved,portal,8,9,Finance,voice,VPN client update failed with rollback error.,VPN client update failed with rollback error. Reported by Deborah from Warehouse.,False,False
56,2024-01-05 00:21:50,2024-01-05 17:34:26.206749411,2024-01-07 00:19:12.717009191,P4,resolved,chat,3,4,Finance,network,Warehouse scanner will not sync picks to WMS.,Warehouse scanner will not sync picks to WMS. Reported by Chelsea from Finance.,False,False
57,2024-01-05 00:40:47,2024-01-05 10:16:48.081243983,2024-01-07 05:50:21.301014959,P4,resolved,email,2,3,Sales,endpoint,Scanner cradle not charging overnight.,Scanner cradle not charging overnight. Reported by George from HR.,False,False
58,2024-01-05 01:12:44,2024-01-05 19:28:30.513238835,2024-01-07 19:40:50.775724647,P4,resolved,portal,2,9,Finance,endpoint,ERP role request approved but not applied.,ERP role request approved but not applied. Reported by Jessica from Sales.,True,False
59,2024-01-05 01:19:54,2024-01-05 04:02:13.077543255,2024-01-05 03:56:17.593301888,P2,resolved,email,5,2,IT,business-apps,New Zebra printer not visible to shipping station.,New Zebra printer not visible to shipping station. Reported by Frank from Warehouse.,False,False
60,2024-01-05 01:47:50,2024-01-05 02:59:27.891818175,2024-01-05 22:48:24.887187040,P3,resolved,chat,7,10,Sales,security,VPN fails only for users in Phoenix office.,VPN fails only for users in Phoenix office. Reported by Noah from Operations.,False,False
61,2024-01-05 02:17:16,2024-01-05 19:50:18.423349223,2024-01-07 00:28:18.986099587,P4,resolved,email,8,5,Finance,voice,VPN fails only for users in Phoenix office.,VPN fails only for users in Phoenix office. Reported by Veronica from Operations.,False,False
62,2024-01-05 03:46:33,2024-01-05 10:02:13.812424163,2024-01-06 00:12:06.200290718,P3,resolved,email,1,8,Warehouse,identity,Single sign-on to HRIS returns invalid relay state.,Single sign-on to HRIS returns invalid relay state. Reported by Danielle from Warehouse.,False,False
63,2024-01-05 04:10:23,2024-01-05 10:26:26.778585068,2024-01-05 16:34:47.164439850,P3,resolved,phone,1,4,Sales,identity,Sales laptop webcam missing from device manager.,Sales laptop webcam missing from device manager. Reported by Angela from Warehouse.,False,False
64,2024-01-05 04:17:45,2024-01-05 07:55:33.125290908,2024-01-06 01:23:43.987963449,P3,resolved,chat,6,8,Finance,peripherals,Suspicious login alert triggered for finance user.,Suspicious login alert triggered for finance user. Reported by Gabrielle from Operations.,False,False
65,2024-01-05 04:19:19,2024-01-05 10:44:12.677766008,,P3,in_progress,portal,3,10,IT,network,Conference room display shows no HDMI signal.,Conference room display shows no HDMI signal. Reported by Megan from Finance.,False,False
66,2024-01-05 04:42:47,2024-01-05 19:29:00.400060440,2024-01-07 03:53:39.623995329,P4,resolved,chat,4,5,Sales,saas,Teams calls dropping audio after two minutes.,Teams calls dropping audio after two minutes. Reported by Kimberly from HR.,False,False
67,2024-01-05 05:26:24,2024-01-06 00:04:36.687148813,2024-01-08 02:31:31.662409875,P4,resolved,portal,1,3,Operations,identity,Scanner cradle not charging overnight.,Scanner cradle not charging overnight. Reported by Jeremy from Sales.,True,False
68,2024-01-05 05:45:41,2024-01-05 06:48:44.713295294,2024-01-05 13:14:59.965556639,P2,resolved,email,1,1,Warehouse,identity,Spam burst hit shared support inbox this morning.,Spam burst hit shared support inbox this morning. Reported by Antonio from Finance.,True,False
69,2024-01-05 08:35:34,2024-01-05 14:39:26.973344378,2024-01-06 07:01:48.413473088,P3,resolved,portal,5,10,Finance,business-apps,Scanner cradle not charging overnight.,Scanner cradle not charging overnight. Reported by Leslie from Sales.,True,False
70,2024-01-05 11:27:05,2024-01-05 12:22:42.375263660,2024-01-05 13:35:54.246991329,P1,resolved,chat,6,10,IT,peripherals,CEO calendar delegate can no longer edit events.,CEO calendar delegate can no longer edit events. Reported by Joseph from Operations.,True,False
71,2024-01-05 13:04:48,2024-01-06 06:43:17.159650539,,P4,pending,phone,8,7,HR,voice,ERP role request approved but not applied.,ERP role request approved but not applied. Reported by Jason from Sales.,False,False
72,2024-01-05 13:15:00,2024-01-05 16:03:52.829311086,2024-01-06 10:16:06.069288543,P3,resolved,portal,4,1,HR,saas,Cannot sign in to Okta after password reset.,Cannot sign in to Okta after password reset. Reported by Sherri from Sales.,False,False
73,2024-01-05 13:33:14,2024-01-05 17:46:06.338472524,,P3,in_progress,portal,6,9,Warehouse,peripherals,VPN outage reported by remote finance staff.,VPN outage reported by remote finance staff. Reported by Nancy from Warehouse.,False,False
74,2024-01-05 15:21:10,2024-01-05 18:35:06.293567478,2024-01-06 12:21:49.218638302,P3,resolved,chat,7,5,HR,security,Intune enrollment stuck on compliance evaluation.,Intune enrollment stuck on compliance evaluation. Reported by Leonard from Sales.,False,False
75,2024-01-05 17:36:15,2024-01-05 23:38:32.022154189,2024-01-06 04:02:06.104320345,P3,closed,chat,4,3,Operations,saas,ERP purchase order screen timing out for AP team.,ERP purchase order screen timing out for AP team. Reported by Diana from Finance.,False,False
76,2024-01-05 18:32:43,2024-01-05 20:05:13.427277391,2024-01-06 03:34:09.027443416,P3,resolved,email,2,4,HR,endpoint,Power BI refresh failing after service account rotation.,Power BI refresh failing after service account rotation. Reported by Randall from HR.,False,False
77,2024-01-05 20:46:06,2024-01-06 01:51:36.535060711,2024-01-06 16:20:50.606188322,P4,resolved,portal,7,10,Operations,security,Scanner firmware update broke keyboard wedge mode.,Scanner firmware update broke keyboard wedge mode. Reported by Robin from Warehouse.,False,False
78,2024-01-05 22:16:40,2024-01-06 01:28:27.935888080,,P3,pending,email,1,8,IT,identity,Print queue stalled for shipping label batch.,Print queue stalled for shipping label batch. Reported by Stephen from Finance.,False,False
79,2024-01-05 23:37:13,2024-01-06 00:51:19.602637073,2024-01-06 06:43:03.036612456,P2,resolved,portal,3,6,Sales,network,SSO certificate warning shown on benefits portal.,SSO certificate warning shown on benefits portal. Reported by Joseph from HR.,False,False
80,2024-01-06 00:17:50,2024-01-06 02:55:47.668894814,2024-01-06 16:44:05.773067427,P3,resolved,chat,2,8,Sales,endpoint,Mailbox forwarding rule recreated after removal.,Mailbox forwarding rule recreated after removal. Reported by John from Warehouse.,False,False
81,2024-01-06 01:56:20,2024-01-06 04:19:43.697192703,2024-01-06 15:14:15.408568506,P3,resolved,email,6,9,IT,peripherals,Cannot sign in to Okta after password reset.,Cannot sign in to Okta after password reset. Reported by Anna from Warehouse.,False,False
82,2024-01-06 05:34:35,2024-01-06 12:36:10.767451474,2024-01-07 03:52:11.015824446,P3,resolved,portal,3,7,Operations,network,Conference room display shows no HDMI signal.,Conference room display shows no HDMI signal. Reported by Jose from Finance.,True,False
83,2024-01-06 05:52:57,2024-01-06 16:22:40.619928079,2024-01-08 02:53:32.684024158,P4,resolved,email,3,4,HR,network,Docking station no longer drives dual monitors.,Docking station no longer drives dual monitors. Reported by Brenda from Sales.,False,False
84,2024-01-06 14:39:27,2024-01-06 21:20:49.876270526,,P3,pending,email,6,1,Finance,peripherals,Citrix launch freezes on black screen.,Citrix launch freezes on black screen. Reported by Rachael from Operations.,False,False
85,2024-01-06 18:45:08,2024-01-07 00:15:59.567350040,2024-01-08 19:03:00.599710756,P4,resolved,chat,3,2,Finance,network,CEO calendar delegate can no longer edit events.,CEO calendar delegate can no longer edit events. Reported by Reginald from Warehouse.,False,False
86,2024-01-06 21:35:45,2024-01-06 22:50:30.981656354,,P2,pending,portal,3,3,Warehouse,network,New hire missing access to onboarding portal.,New hire missing access to onboarding portal. Reported by Jeffrey from Finance.,False,False
87,2024-01-06 23:47:56,2024-01-07 11:11:11.215277040,2024-01-08 19:02:02.556476688,P4,resolved,chat,4,8,Operations,saas,Teams calls dropping audio after two minutes.,Teams calls dropping audio after two minutes. Reported by Whitney from Warehouse.,False,False
88,2024-01-07 00:32:16,2024-01-07 04:06:42.896661277,2024-01-07 22:33:49.655137931,P3,resolved,portal,1,1,IT,identity,Docking station no longer drives dual monitors.,Docking station no longer drives dual monitors. Reported by William from Warehouse.,True,False
89,2024-01-07 01:13:00,2024-01-07 08:11:45.775930440,2024-01-07 21:08:06.299933034,P3,resolved,chat,8,2,HR,voice,Print queue stalled for shipping label batch.,Print queue stalled for shipping label batch. Reported by Christopher from HR.,False,False
90,2024-01-07 02:12:33,2024-01-07 07:21:04.290555429,2024-01-07 09:03:45.660960589,P3,resolved,email,8,10,Sales,voice,Procurement team reports ERP attachments missing.,Procurement team reports ERP attachments missing. Reported by Brandon from Sales.,False,False
91,2024-01-07 03:22:28,2024-01-07 09:07:51.547612250,,P3,pending,portal,6,5,Warehouse,peripherals,Excel add-in blocked by security policy.,Excel add-in blocked by security policy. Reported by Daniel from Operations.,False,False
92,2024-01-07 05:31:18,2024-01-07 09:25:27.849199287,2024-01-08 00:58:14.235062205,P3,closed,email,1,2,Finance,identity,BitLocker recovery key prompt appears at boot.,BitLocker recovery key prompt appears at boot. Reported by Courtney from Operations.,False,False
93,2024-01-07 09:53:48,2024-01-07 22:12:06.318148160,2024-01-08 23:21:10.604208951,P4,resolved,chat,4,9,IT,saas,MFA push not arriving on replacement phone.,MFA push not arriving on replacement phone. Reported by Laura from Warehouse.,False,False
94,2024-01-07 17:30:02,2024-01-07 23:00:04.014474766,2024-01-08 14:48:22.110608129,P3,closed,portal,3,10,IT,network,ERP role request approved but not applied.,ERP role request approved but not applied. Reported by Robert from HR.,False,False
95,2024-01-07 17:58:08,2024-01-08 05:19:50.882232251,2024-01-08 19:39:54.230036162,P4,resolved,email,2,6,IT,endpoint,VPN fails only for users in Phoenix office.,VPN fails only for users in Phoenix office. Reported by Bryan from Warehouse.,False,False
96,2024-01-07 18:14:17,2024-01-08 00:11:10.640635366,2024-01-09 17:39:12.376824219,P4,resolved,portal,8,2,Warehouse,voice,Warehouse scanner will not sync picks to WMS.,Warehouse scanner will not sync picks to WMS. Reported by Patrick from HR.,False,False
97,2024-01-07 19:22:49,2024-01-08 00:15:07.008208390,2024-01-08 11:48:06.192385912,P3,resolved,chat,4,7,HR,saas,Procurement team reports ERP attachments missing.,Procurement team reports ERP attachments missing. Reported by Wendy from Finance.,False,False
98,2024-01-07 20:48:24,2024-01-08 07:34:43.604489433,2024-01-09 12:11:49.136674393,P4,resolved,email,6,9,Finance,peripherals,New contractor needs temporary access to WMS.,New contractor needs temporary access to WMS. Reported by Allison from Sales.,False,False
99,2024-01-07 21:03:10,2024-01-08 00:37:54.219773088,2024-01-08 19:41:46.147400584,P3,resolved,portal,6,10,Sales,peripherals,SSO certificate warning shown on benefits portal.,SSO certificate warning shown on benefits portal. Reported by Tasha from HR.,True,False
100,2024-01-07 22:38:16,2024-01-08 02:01:53.224889263,2024-01-08 16:58:06.074145356,P3,resolved,chat,3,6,HR,network,Teams calls dropping audio after two minutes.,Teams calls dropping audio after two minutes. Reported by Michelle from HR.,False,False
101,2024-01-07 22:44:30,2024-01-08 05:15:13.035721628,2024-01-08 08:59:30.225590914,P3,resolved,email,3,10,IT,network,Warehouse tablet battery draining within one shift.,Warehouse tablet battery draining within one shift. Reported by Alexander from Finance.,False,False
102,2024-01-07 23:44:52,2024-01-08 08:50:24.185252564,2024-01-10 00:10:57.439407794,P4,resolved,portal,8,9,IT,voice,Citrix launch freezes on black screen.,Citrix launch freezes on black screen. Reported by Jennifer from Finance.,False,False
103,2024-01-08 01:07:26,2024-01-08 01:52:39.323776886,2024-01-08 04:43:27.101564172,P1,resolved,phone,7,2,Warehouse,security,Customer portal SSO redirects to blank page.,Customer portal SSO redirects to blank page. Reported by Erin from Sales.,True,False
104,2024-01-08 03:13:10,2024-01-08 09:42:44.585784502,2024-01-09 01:13:02.120116211,P3,resolved,email,5,7,Warehouse,business-apps,Mailbox forwarding rule recreated after removal.,Mailbox forwarding rule recreated after removal. Reported by Amanda from Warehouse.,True,False
105,2024-01-08 03:52:38,2024-01-08 11:46:16.039489131,2024-01-08 21:00:09.163385097,P3,resolved,email,5,7,Finance,business-apps,Warehouse tablet battery draining within one shift.,Warehouse tablet battery draining within one shift. Reported by Joseph from Warehouse.,False,False
106,2024-01-08 04:20:39,2024-01-08 06:38:15.619952305,2024-01-08 15:58:02.908780898,P3,resolved,portal,1,8,HR,identity,Power BI refresh failing after service account rotation.,Power BI refresh failing after service account rotation. Reported by Danielle from Sales.,False,False
107,2024-01-08 04:52:12,2024-01-08 08:31:08.437155412,2024-01-08 19:02:52.616228838,P3,resolved,portal,2,6,HR,endpoint,Email quarantine released but message still missing.,Email quarantine released but message still missing. Reported by Daniel from HR.,False,False
108,2024-01-08 05:03:19,2024-01-08 06:04:25.109004287,2024-01-08 18:20:25.163561316,P3,resolved,chat,1,8,Sales,identity,Payroll batch job missed scheduled overnight window.,Payroll batch job missed scheduled overnight window. Reported by Ryan from Warehouse.,False,False
109,2024-01-08 06:48:48,2024-01-08 16:11:37.065446910,2024-01-09 12:27:05.687808582,P4,resolved,portal,7,6,IT,security,Label printer feeds blank stock after maintenance.,Label printer feeds blank stock after maintenance. Reported by Shawn from Sales.,False,False
110,2024-01-08 07:31:16,2024-01-08 10:30:03.419664862,,P3,in_progress,portal,8,3,HR,voice,New hire missing access to onboarding portal.,New hire missing access to onboarding portal. Reported by Stephanie from Finance.,False,False
111,2024-01-08 07:40:46,2024-01-08 14:27:31.725447881,2024-01-09 02:56:47.240911544,P3,resolved,portal,2,5,Sales,endpoint,Spam burst hit shared support inbox this morning.,Spam burst hit shared support inbox this morning. Reported by Nancy from Operations.,False,False
112,2024-01-08 08:01:02,2024-01-08 18:44:07.975452142,2024-01-10 03:24:13.063901638,P4,resolved,email,3,10,Operations,network,Password reset loop continues after successful change.,Password reset loop continues after successful change. Reported by Jose from HR.,False,False
113,2024-01-08 08:56:19,2024-01-09 00:05:51.742148503,2024-01-09 21:05:49.048776679,P4,closed,portal,3,9,Warehouse,network,Email signatures disappeared for sales team.,Email signatures disappeared for sales team. Reported by Vincent from HR.,False,False
114,2024-01-08 10:27:39,2024-01-08 12:20:09.633530923,2024-01-08 16:43:36.420826358,P2,resolved,email,7,7,Warehouse,security,Outlook keeps prompting for password on Mac.,Outlook keeps prompting for password on Mac. Reported by Guy from HR.,False,False
115,2024-01-08 11:03:52,2024-01-08 13:34:09.640241203,2024-01-08 23:52:02.986418587,P3,resolved,phone,4,4,Warehouse,saas,Label printer feeds blank stock after maintenance.,Label printer feeds blank stock after maintenance. Reported by Rita from Operations.,False,False
