comment_id,ticket_id,agent_id,created_at,visibility,team,body
87,43,7,2024-01-04 20:32:35.981909,internal,network,Applied GPO update and forced policy refresh.
88,44,2,2024-01-04 23:32:54.955062,public,tier-1,Monitor issue persisted after cable swap.
89,44,2,2024-01-05 09:57:03.306084,public,tier-1,Reset print spooler and reinstalled queue.
90,45,1,2024-01-05 06:42:09.868981,public,tier-1,Service restored; monitoring for repeat failures.
91,45,1,2024-01-05 20:30:28.356091,public,tier-1,Network team reviewing firewall and VPN telemetry.
92,45,1,2024-01-06 00:53:16.508265,public,tier-1,User verified access restored after role sync.
93,46,10,2024-01-04 19:40:20.302863,public,collaboration,Reset print spooler and reinstalled queue.
94,46,10,2024-01-05 05:59:36.179263,public,collaboration,Security review requested before granting exception.
95,46,10,2024-01-05 08:06:46.779968,internal,collaboration,Monitor issue persisted after cable swap.
96,47,2,2024-01-05 09:09:35.207450,public,tier-1,Temporary workaround provided pending vendor response.
97,47,2,2024-01-05 23:17:42.176439,public,tier-1,Awaiting screenshot and exact error timestamp from requester.
98,48,2,2024-01-04 23:55:10.241921,internal,tier-1,Security review requested before granting exception.
99,48,2,2024-01-05 07:15:30.352553,internal,tier-1,Queue backlog high due to concurrent outage tickets.
100,49,4,2024-01-05 07:10:20.623810,public,tier-2,Device shipped to depot for motherboard replacement.
101,49,4,2024-01-05 14:56:45.286407,public,tier-2,Device shipped to depot for motherboard replacement.
102,49,4,2024-01-06 07:18:32.052026,public,tier-2,Service restored; monitoring for repeat failures.
103,50,10,2024-01-04 20:27:31.577911,public,collaboration,Vendor status page confirms partial service disruption.
104,50,10,2024-01-05 10:27:41.712059,internal,collaboration,Closing after three business days without reply.
105,51,9,2024-01-04 23:10:19.000002,public,security,Reset print spooler and reinstalled queue.
106,52,8,2024-01-05 14:29:44.578852,public,business-apps,User verified access restored after role sync.
107,53,2,2024-01-04 23:18:04.135053,internal,tier-1,Reopened because problem recurred after overnight reboot.
108,53,2,2024-01-05 12:24:29.160762,public,tier-1,Phone call completed with warehouse supervisor.
109,53,2,2024-01-05 17:00:30.189662,internal,tier-1,Monitor issue persisted after cable swap.
110,54,7,2024-01-05 04:30:27.759372,public,network,Reset print spooler and reinstalled queue.
111,55,9,2024-01-05 09:16:13.351193,internal,security,Linked to active parent incident to reduce duplicate handling.
112,55,9,2024-01-05 12:57:08.397537,internal,security,Linked to active parent incident to reduce duplicate handling.
113,55,9,2024-01-06 02:59:27.085770,internal,security,Customer contacted and asked to retry after cache clear.
114,56,4,2024-01-05 13:27:29.992466,public,tier-2,MFA re-registration completed successfully.
115,56,4,2024-01-06 02:58:57.792423,public,tier-2,Temporary workaround provided pending vendor response.
116,56,4,2024-01-06 13:16:20.120307,internal,tier-2,Service restored; monitoring for repeat failures.
117,57,3,2024-01-05 10:56:42.835350,internal,tier-1,Service restored; monitoring for repeat failures.
118,57,3,2024-01-06 01:49:49.624581,public,tier-1,Customer contacted and asked to retry after cache clear.
119,57,3,2024-01-06 02:29:16.051040,public,tier-1,Applied GPO update and forced policy refresh.
120,58,9,2024-01-05 15:18:17.269918,public,security,Device shipped to depot for motherboard replacement.
121,58,9,2024-01-06 05:11:10.326255,public,security,Awaiting screenshot and exact error timestamp from requester.
122,59,2,2024-01-05 16:42:12.591016,public,tier-1,Security review requested before granting exception.
123,59,2,2024-01-06 03:47:47.631419,public,tier-1,Reopened because problem recurred after overnight reboot.
124,59,2,2024-01-06 16:15:11.034541,public,tier-1,Temporary workaround provided pending vendor response.
125,59,2,2024-01-07 03:41:13.455091,public,tier-1,Phone call completed with warehouse supervisor.
126,60,10,2024-01-05 06:22:54.364488,public,collaboration,Queue backlog high due to concurrent outage tickets.
127,60,10,2024-01-05 22:58:02.102695,internal,collaboration,Found stale token in local credential manager.
128,60,10,2024-01-06 13:07:49.784702,public,collaboration,Monitor issue persisted after cable swap.
129,61,5,2024-01-05 05:48:03.230148,public,tier-2,Vendor status page confirms partial service disruption.
130,62,8,2024-01-05 11:02:36.409130,public,business-apps,Closing after three business days without reply.
131,62,8,2024-01-05 16:55:20.824308,public,business-apps,Security review requested before granting exception.
132,62,8,2024-01-05 19:20:06.095293,internal,business-apps,Escalated to Tier 2 because issue impacts executive workflow.
133,63,4,2024-01-05 14:03:21.988253,internal,tier-2,Awaiting screenshot and exact error timestamp from requester.
134,63,4,2024-01-06 05:54:01.435812,public,tier-2,Device shipped to depot for motherboard replacement.
135,64,8,2024-01-05 08:26:56.184704,internal,business-apps,Found stale token in local credential manager.
136,65,10,2024-01-05 11:44:22.723323,internal,collaboration,Network team reviewing firewall and VPN telemetry.
137,66,5,2024-01-05 06:39:17.723401,internal,tier-2,Reopened because problem recurred after overnight reboot.
138,66,5,2024-01-05 21:38:29.692924,public,tier-2,Customer contacted and asked to retry after cache clear.
139,66,5,2024-01-06 05:30:21.696972,public,tier-2,Assigned specialist for ERP module permissions.
140,67,3,2024-01-05 18:44:18.349858,internal,tier-1,Applied GPO update and forced policy refresh.
141,67,3,2024-01-05 19:13:46.139021,public,tier-1,Queue backlog high due to concurrent outage tickets.
142,68,1,2024-01-05 07:54:01.355290,public,tier-1,Awaiting screenshot and exact error timestamp from requester.
143,68,1,2024-01-06 01:44:08.653642,internal,tier-1,Assigned specialist for ERP module permissions.
144,68,1,2024-01-06 13:12:54.862823,internal,tier-1,Issue now limited to users on macOS Sonoma.
145,68,1,2024-01-06 15:39:16.047389,internal,tier-1,Security review requested before granting exception.
146,68,1,2024-01-06 20:35:24.278792,public,tier-1,Closing after three business days without reply.
147,68,1,2024-01-06 22:55:47.885524,public,tier-1,Issue now limited to users on macOS Sonoma.
148,69,10,2024-01-05 21:39:22.975975,internal,collaboration,Awaiting screenshot and exact error timestamp from requester.
149,69,10,2024-01-06 08:05:53.881580,public,collaboration,Linked to active parent incident to reduce duplicate handling.
150,69,10,2024-01-06 17:40:44.746674,public,collaboration,Device shipped to depot for motherboard replacement.
151,70,10,2024-01-06 05:11:17.484106,public,collaboration,User verified access restored after role sync.
152,70,10,2024-01-06 09:28:05.604281,public,collaboration,Vendor status page confirms partial service disruption.
153,70,10,2024-01-06 18:12:26.787592,public,collaboration,Reopened because problem recurred after overnight reboot.
154,71,7,2024-01-06 03:23:26.223914,public,network,User verified access restored after role sync.
155,71,7,2024-01-06 18:53:28.858531,public,network,Security review requested before granting exception.
156,71,7,2024-01-06 23:53:51.283322,public,network,Reset print spooler and reinstalled queue.
157,72,1,2024-01-05 20:04:24.459907,public,tier-1,User verified access restored after role sync.
158,72,1,2024-01-05 23:14:21.400598,public,tier-1,Network team reviewing firewall and VPN telemetry.
159,72,1,2024-01-06 01:09:20.805875,public,tier-1,Awaiting screenshot and exact error timestamp from requester.
160,73,9,2024-01-06 00:17:17.909980,public,security,MFA re-registration completed successfully.
161,74,5,2024-01-06 03:32:00.763559,internal,tier-2,Issue now limited to users on macOS Sonoma.
162,74,5,2024-01-06 15:28:06.192337,public,tier-2,User verified access restored after role sync.
163,74,5,2024-01-06 18:46:59.214873,public,tier-2,Vendor status page confirms partial service disruption.
164,75,3,2024-01-06 02:53:39.162320,public,tier-1,Temporary workaround provided pending vendor response.
165,76,4,2024-01-06 07:00:54.134320,public,tier-2,Escalated to Tier 2 because issue impacts executive workflow.
166,76,4,2024-01-06 22:09:52.897433,internal,tier-2,Issue now limited to users on macOS Sonoma.
167,77,10,2024-01-06 02:08:43.151090,public,collaboration,Linked to active parent incident to reduce duplicate handling.
168,78,8,2024-01-06 13:37:01.224639,public,business-apps,Reset print spooler and reinstalled queue.
169,79,6,2024-01-06 11:07:09.416750,public,identity,Network team reviewing firewall and VPN telemetry.
170,79,6,2024-01-06 23:42:14.225489,internal,identity,MFA re-registration completed successfully.
171,79,6,2024-01-07 03:09:37.783474,public,identity,User verified access restored after role sync.
172,80,8,2024-01-06 05:47:38.202403,internal,business-apps,Confirmed issue reproducible on spare device.
173,80,8,2024-01-06 15:41:39.480855,public,business-apps,MFA re-registration completed successfully.
174,80,8,2024-01-07 02:49:43.971020,public,business-apps,Phone call completed with warehouse supervisor.
175,81,9,2024-01-06 15:46:06.441406,public,security,Monitor issue persisted after cable swap.
176,81,9,2024-01-06 19:43:37.751866,public,security,Awaiting screenshot and exact error timestamp from requester.
177,81,9,2024-01-07 05:19:25.494762,public,security,Customer contacted and asked to retry after cache clear.
178,82,7,2024-01-06 20:34:28.742215,internal,network,User verified access restored after role sync.
179,82,7,2024-01-07 07:49:06.252736,public,network,Device shipped to depot for motherboard replacement.
180,82,7,2024-01-07 15:54:05.782591,internal,network,Linked to active parent incident to reduce duplicate handling.
181,82,7,2024-01-07 20:48:15.156219,public,network,Reset print spooler and reinstalled queue.
182,83,4,2024-01-06 23:08:05.392715,public,tier-2,Linked to active parent incident to reduce duplicate handling.
183,83,4,2024-01-07 07:59:56.365963,internal,tier-2,Awaiting screenshot and exact error timestamp from requester.
184,83,4,2024-01-07 09:49:50.319869,public,tier-2,Assigned specialist for ERP module permissions.
185,84,1,2024-01-06 18:25:51.352935,public,tier-1,Device shipped to depot for motherboard replacement.
186,84,1,2024-01-07 00:57:24.041736,public,tier-1,Monitor issue persisted after cable swap.
187,85,2,2024-01-07 03:11:19.708642,public,tier-1,Reset print spooler and reinstalled queue.
188,85,2,2024-01-07 10:45:45.278507,public,tier-1,Customer contacted and asked to retry after cache clear.
189,86,3,2024-01-07 11:06:44.859804,public,tier-1,User reports workaround acceptable until maintenance window.
190,86,3,2024-01-07 18:07:28.257234,public,tier-1,Monitor issue persisted after cable swap.
191,86,3,2024-01-08 01:27:58.305659,internal,tier-1,Security review requested before granting exception.
192,86,3,2024-01-08 14:53:32.092562,public,tier-1,Security review requested before granting exception.
193,86,3,2024-01-08 21:08:49.623864,public,tier-1,Security review requested before granting exception.
194,87,8,2024-01-07 07:37:41.323345,public,business-apps,Network team reviewing firewall and VPN telemetry.
195,88,1,2024-01-07 12:42:12.129380,public,tier-1,Linked to active parent incident to reduce duplicate handling.
196,88,1,2024-01-08 04:08:00.610977,public,tier-1,Found stale token in local credential manager.
197,88,1,2024-01-08 10:07:07.490122,public,tier-1,Device shipped to depot for motherboard replacement.
198,88,1,2024-01-09 00:37:46.879696,public,tier-1,Reopened because problem recurred after overnight reboot.
199,89,2,2024-01-07 14:47:18.996574,internal,tier-1,Escalated to Tier 2 because issue impacts executive workflow.
200,89,2,2024-01-07 15:17:11.829606,public,tier-1,Service restored; monitoring for repeat failures.
201,90,10,2024-01-07 03:34:00.018598,internal,collaboration,Queue backlog high due to concurrent outage tickets.
202,91,5,2024-01-07 06:17:21.633376,internal,tier-2,Device shipped to depot for motherboard replacement.
203,91,5,2024-01-07 10:04:09.435233,internal,tier-2,Device shipped to depot for motherboard replacement.
204,91,5,2024-01-07 10:38:58.374974,public,tier-2,MFA re-registration completed successfully.
205,92,2,2024-01-07 14:16:45.857345,public,tier-1,Temporary workaround provided pending vendor response.
206,92,2,2024-01-08 06:41:26.955161,internal,tier-1,Closing after three business days without reply.
207,93,9,2024-01-07 16:24:20.195412,public,security,Assigned specialist for ERP module permissions.
208,93,9,2024-01-07 21:28:50.918257,public,security,Escalated to Tier 2 because issue impacts executive workflow.
209,93,9,2024-01-08 09:27:15.098528,public,security,Awaiting screenshot and exact error timestamp from requester.
210,94,10,2024-01-08 05:52:52.905243,public,collaboration,Closing after three business days without reply.
211,94,10,2024-01-08 09:25:56.746060,public,collaboration,Linked to active parent incident to reduce duplicate handling.
212,95,6,2024-01-08 03:56:20.355493,public,identity,Security review requested before granting exception.
213,95,6,2024-01-08 10:34:41.432418,internal,identity,Network team reviewing firewall and VPN telemetry.
214,96,2,2024-01-08 09:51:39.909337,public,tier-1,Network team reviewing firewall and VPN telemetry.
215,96,2,2024-01-08 20:04:01.863895,public,tier-1,Linked to active parent incident to reduce duplicate handling.
216,96,2,2024-01-09 06:06:20.246629,internal,tier-1,Awaiting screenshot and exact error timestamp from requester.
217,97,7,2024-01-08 06:45:16.018646,public,network,Found stale token in local credential manager.
218,97,7,2024-01-08 20:41:18.486160,public,network,Assigned specialist for ERP module permissions.
219,97,7,2024-01-08 23:06:30.299206,public,network,Closing after three business days without reply.
220,98,9,2024-01-08 12:30:35.839460,public,security,Linked to active parent incident to reduce duplicate handling.
221,98,9,2024-01-09 04:42:09.442669,public,security,Reset print spooler and reinstalled queue.
222,98,9,2024-01-09 07:25:39.860971,internal,security,MFA re-registration completed successfully.
223,99,10,2024-01-07 22:35:32.445443,public,collaboration,Awaiting screenshot and exact error timestamp from requester.
224,99,10,2024-01-08 04:28:18.258982,internal,collaboration,Linked to active parent incident to reduce duplicate handling.
225,100,6,2024-01-08 13:39:55.741353,public,identity,Closing after three business days without reply.
226,101,10,2024-01-08 12:26:01.664794,internal,collaboration,Phone call completed with warehouse supervisor.
227,102,9,2024-01-08 05:24:37.667463,internal,security,Network team reviewing firewall and VPN telemetry.
228,102,9,2024-01-08 07:25:11.537330,public,security,Security review requested before granting exception.
229,102,9,2024-01-08 10:20:19.551255,public,security,Assigned specialist for ERP module permissions.
230,103,2,2024-01-08 11:22:36.358195,public,tier-1,Linked to active parent incident to reduce duplicate handling.
231,103,2,2024-01-08 17:42:16.238346,public,tier-1,Network team reviewing firewall and VPN telemetry.
232,103,2,2024-01-09 05:37:08.622342,public,tier-1,Found stale token in local credential manager.
233,103,2,2024-01-09 12:19:13.258545,public,tier-1,Closing after three business days without reply.
234,104,7,2024-01-08 04:31:06.699032,public,network,Device shipped to depot for motherboard replacement.
235,104,7,2024-01-08 15:39:09.265933,internal,network,Customer contacted and asked to retry after cache clear.
236,104,7,2024-01-08 19:51:07.981746,internal,network,Vendor status page confirms partial service disruption.
237,104,7,2024-01-09 01:17:10.346996,public,network,Found stale token in local credential manager.
238,105,7,2024-01-08 07:06:41.999121,public,network,Device shipped to depot for motherboard replacement.
239,105,7,2024-01-08 10:50:31.352429,public,network,Confirmed issue reproducible on spare device.
240,105,7,2024-01-08 14:32:53.590991,public,network,Monitor issue persisted after cable swap.
241,106,8,2024-01-08 22:20:19.332762,public,business-apps,Device shipped to depot for motherboard replacement.
242,107,6,2024-01-08 19:11:16.677356,internal,identity,Closing after three business days without reply.
243,108,8,2024-01-08 12:46:12.250059,public,business-apps,Awaiting screenshot and exact error timestamp from requester.
244,108,8,2024-01-08 17:13:55.831571,internal,business-apps,Device shipped to depot for motherboard replacement.
245,108,8,2024-01-09 04:58:13.115208,public,business-apps,Closing after three business days without reply.
246,109,6,2024-01-08 08:54:03.683964,internal,identity,Customer contacted and asked to retry after cache clear.
247,109,6,2024-01-08 20:07:12.286615,public,identity,Closing after three business days without reply.
248,110,3,2024-01-08 08:05:46.295176,internal,tier-1,User verified access restored after role sync.
249,111,5,2024-01-08 20:05:44.649810,public,tier-2,Monitor issue persisted after cable swap.
250,112,10,2024-01-08 14:57:05.871830,internal,collaboration,Reopened because problem recurred after overnight reboot.
251,112,10,2024-01-09 07:48:57.528970,public,collaboration,Issue now limited to users on macOS Sonoma.
252,113,9,2024-01-08 12:05:26.491869,public,security,Queue backlog high due to concurrent outage tickets.
253,113,9,2024-01-09 02:11:02.877077,public,security,Assigned specialist for ERP module permissions.
254,113,9,2024-01-09 07:37:04.555826,public,security,Service restored; monitoring for repeat failures.
255,114,7,2024-01-09 04:21:58.100869,public,network,Closing after three business days without reply.
256,115,4,2024-01-08 15:44:55.717700,public,tier-2,Escalated to Tier 2 because issue impacts executive workflow.
257,115,4,2024-01-08 18:29:35.810926,public,tier-2,Closing after three business days without reply.
258,115,4,2024-01-09 10:15:49.075368,public,tier-2,Assigned specialist for ERP module permissions.
259,116,3,2024-01-09 01:13:33.642951,internal,tier-1,Reset print spooler and reinstalled queue.
260,116,3,2024-01-09 10:42:54.802700,public,tier-1,Temporary workaround provided pending vendor response.
261,117,3,2024-01-09 07:46:53.577662,public,tier-1,Customer contacted and asked to retry after cache clear.
262,117,3,2024-01-09 23:13:03.882406,public,tier-1,Awaiting screenshot and exact error timestamp from requester.
263,118,4,2024-01-09 07:46:33.012579,public,tier-2,Vendor status page confirms partial service disruption.
264,119,10,2024-01-08 23:00:59.916099,public,collaboration,Monitor issue persisted after cable swap.
265,119,10,2024-01-09 00:54:14.741779,public,collaboration,Linked to active parent incident to reduce duplicate handling.
266,120,6,2024-01-09 11:07:30.987816,public,identity,Found stale token in local credential manager.
267,120,6,2024-01-09 18:38:06.391639,internal,identity,Device shipped to depot for motherboard replacement.
268,121,4,2024-01-09 10:39:10.632035,public,tier-2,Linked to active parent incident to reduce duplicate handling.
269,121,4,2024-01-09 21:35:01.880544,public,tier-2,Customer contacted and asked to retry after cache clear.
270,122,9,2024-01-09 02:41:43.901278,public,security,Phone call completed with warehouse supervisor.
271,122,9,2024-01-09 12:44:39.586786,internal,security,Service restored; monitoring for repeat failures.
272,123,4,2024-01-09 18:23:58.459098,internal,tier-2,Monitor issue persisted after cable swap.
273,123,4,2024-01-10 03:36:05.571097,public,tier-2,Issue now limited to users on macOS Sonoma.
274,123,4,2024-01-10 12:46:07.445471,public,tier-2,Security review requested before granting exception.
275,124,8,2024-01-09 07:14:10.049049,public,business-apps,Linked to active parent incident to reduce duplicate handling.
276,124,8,2024-01-09 09:54:20.223425,public,business-apps,Awaiting screenshot and exact error timestamp from requester.
277,124,8,2024-01-09 13:42:39.507768,internal,business-apps,Issue now limited to users on macOS Sonoma.
278,124,8,2024-01-10 02:30:09.107297,internal,business-apps,Monitor issue persisted after cable swap.
279,125,7,2024-01-09 07:48:29.394200,internal,network,Monitor issue persisted after cable swap.
280,126,4,2024-01-09 14:57:59.236575,public,tier-2,Reset print spooler and reinstalled queue.
281,126,4,2024-01-09 22:06:40.670349,public,tier-2,User reports workaround acceptable until maintenance window.
282,127,10,2024-01-09 13:52:05.665011,public,collaboration,Reset print spooler and reinstalled queue.
283,128,7,2024-01-09 22:04:40.615242,public,network,Issue now limited to users on macOS Sonoma.
284,129,10,2024-01-10 05:06:36.356291,public,collaboration,Applied GPO update and forced policy refresh.
285,129,10,2024-01-10 10:36:33.808094,public,collaboration,Vendor status page confirms partial service disruption.
286,130,1,2024-01-09 23:34:07.331589,public,tier-1,User verified access restored after role sync.
287,131,3,2024-01-09 22:22:59.792209,internal,tier-1,Assigned specialist for ERP module permissions.
288,131,3,2024-01-10 11:33:25.068285,public,tier-1,User verified access restored after role sync.
289,131,3,2024-01-10 14:20:50.257466,internal,tier-1,Awaiting screenshot and exact error timestamp from requester.
290,131,3,2024-01-10 16:45:28.622315,public,tier-1,Queue backlog high due to concurrent outage tickets.
291,131,3,2024-01-10 18:01:19.182591,public,tier-1,Monitor issue persisted after cable swap.
292,132,4,2024-01-10 07:05:55.030850,public,tier-2,Linked to active parent incident to reduce duplicate handling.
293,133,7,2024-01-10 07:44:24.212233,public,network,Confirmed issue reproducible on spare device.
294,134,9,2024-01-10 07:59:38.609902,public,security,Device shipped to depot for motherboard replacement.
295,134,9,2024-01-10 16:55:43.648459,internal,security,User reports workaround acceptable until maintenance window.
296,135,2,2024-01-10 13:14:23.656516,public,tier-1,Security review requested before granting exception.
297,135,2,2024-01-11 03:46:35.750086,public,tier-1,Found stale token in local credential manager.
298,136,2,2024-01-10 13:50:21.113715,public,tier-1,Phone call completed with warehouse supervisor.
299,136,2,2024-01-10 14:26:54.236378,internal,tier-1,Reset print spooler and reinstalled queue.
300,137,7,2024-01-10 14:04:33.631936,public,network,Customer contacted and asked to retry after cache clear.
301,137,7,2024-01-10 21:36:40.818382,public,network,Monitor issue persisted after cable swap.
302,137,7,2024-01-11 01:16:24.171276,public,network,Reopened because problem recurred after overnight reboot.
303,137,7,2024-01-11 05:16:07.032607,public,network,Customer contacted and asked to retry after cache clear.
304,138,4,2024-01-10 14:41:25.465828,public,tier-2,Temporary workaround provided pending vendor response.
305,138,4,2024-01-11 04:55:42.767064,public,tier-2,Reopened because problem recurred after overnight reboot.
306,138,4,2024-01-11 14:16:58.373316,public,tier-2,Assigned specialist for ERP module permissions.
307,139,7,2024-01-10 14:16:51.568695,public,network,Network team reviewing firewall and VPN telemetry.
